importer,total_count,product_category_summary_sorted,product_category_actual_sorted
(주)하이랜드푸드,13665,"소고기 ,돼지고기 ,닭고기 ","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),닭고기(냉동,다리,닭고기정육/지육),소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(기타,돼지고기부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,장,소부산물),소고기(냉동,기타,소부산물),소고기(냉동,위,소부산물),소고기(냉동,머리,소부산물),소고기(냉동,건,소부산물),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,꼬리,소부산물),닭고기(냉동,가슴,닭고기정육/지육),돼지고기(냉동,장,돼지고기부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,심장,소부산물),돼지고기(냉장,정육(뼈없는것),돼지고기정육/지육),소고기(냉장,정육(뼈없는것),소고기정육/지육),돼지고기(냉장,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,발,소부산물),닭고기(냉동,날개,닭고기정육/지육),닭고기(냉동,기타,닭고기정육/지육),소고기(냉장,횡격막,소부산물),돼지고기(냉동,횡격막,돼지고기부산물),돼지고기(냉동,머리,돼지고기부산물),소고기(냉동,간,소부산물),양고기(냉동,정육(뼈없는것),양고기및부산물),소고기(냉장,머리,소부산물),양고기(냉동,기타,양고기및부산물),소고기(냉장,기타,소부산물),염소고기(냉동,지육,염소육 및 부산물),닭고기(냉동,발,닭고기부산물),염소고기(냉동,정육(뼈있는 것),염소육 및 부산물)"
씨제이프레시웨이(주),5683,"돼지고기 ,소고기 ,과채가공품,치즈 ,주꾸미 ,마늘 ,양파 ,기타 수산물가공품,오징어 ,소스,당근 ,갑오징어 ,버터 ,고등어 ,양배추 ,새우 ,식물성크림/ 유크림 ,올리브유,포도 ,우유 ,닭고기 ,두류가공품,분유 ","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),돼지고기(냉동,지방,돼지고기부산물),소고기(냉동,정육(뼈없는것),소고기정육/지육),과.채가공품,소고기(냉동,정육(뼈있는것),소고기정육/지육),자연치즈,마늘(뿌리,냉동),양파(냉동),주꾸미(냉동),기타 수산물가공품,오징어(냉동,지느러미),소스,당근(뿌리,냉동),해물혼합(냉동),갑오징어(냉동),고등어(냉동,필렛(F)),소고기(냉동,건,소부산물),가공버터,버터,양배추(잎,냉동),소고기(냉동,머리,소부산물),치즈,가공유크림,고등어(냉동),오징어(냉동,다리),올리브유,포도(열매,신선),오징어(냉동,동체),오징어(냉동,동체,자숙),우유,닭고기(냉동,다리,닭고기정육/지육),두류가공품,돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),전지분유"
(주)견우푸드,3822,"소고기 ,돼지고기 ,과채가공품,분쇄가공육제품","소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,건,소부산물),소고기(냉동,위,소부산물),소고기(냉동,꼬리,소부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,기타,소부산물),소고기(냉동,머리,소부산물),과.채가공품,돼지고기(냉동,장,돼지고기부산물),분쇄가공육제품"
주식회사 선우프레시,3480,"소고기 ,돼지고기 ,닭고기 ,당근 ,양파 ","소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),닭고기(냉동,다리,닭고기정육/지육),소고기(냉동,위,소부산물),소고기(냉동,기타,소부산물),돼지고기(냉동,기타,돼지고기부산물),소고기(냉동,장,소부산물),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉동,건,소부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),당근(뿌리,신선),소고기(냉장,횡격막,소부산물),돼지고기(냉동,위,돼지고기부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,머리,소부산물),양파(신선),돼지고기(냉동,장,돼지고기부산물),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,꼬리,소부산물),돼지고기(기타,돼지고기부산물),닭고기(냉동,가슴,닭고기정육/지육),돼지고기(냉동,머리,돼지고기부산물),돼지고기(냉동,횡격막,돼지고기부산물),소고기(냉동,심장,소부산물)"
주식회사 동원홈푸드,3277,"소고기 ,돼지고기 ,닭고기 ,오징어 ,과채가공품,양파 ,당근 ,주꾸미 ,마늘 ,치즈 ,분유 ,양배추 ,식물성크림/ 유크림 ,갑오징어 ,명태 ,당류가공품,두류가공품,새우 ","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),닭고기(냉동,다리,닭고기정육/지육),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉장,횡격막,소부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,머리,소부산물),돼지고기(냉동,장,돼지고기부산물),소고기(냉동,위,소부산물),돼지고기(냉동,지방,돼지고기부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,건,소부산물),오징어(냉동,지느러미),과.채가공품,양파(냉동),소고기(냉장,정육(뼈있는것),소고기정육/지육),돼지고기(기타,돼지고기부산물),당근(뿌리,냉동),소고기(냉동,꼬리,소부산물),주꾸미(냉동),마늘(뿌리,냉동),돼지고기(냉동,기타,돼지고기부산물),소고기(냉동,기타,소부산물),돼지고기(냉동,횡격막,돼지고기부산물),돼지고기(냉동,발,돼지고기부산물),자연치즈,소고기(냉장,기타,소부산물),양배추(잎,냉동),혼합분유,탈지분유,유크림,오징어(냉동,동체),가공치즈,명태(냉동),오징어(냉동,다리),돼지고기(냉동,머리,돼지고기부산물),당류가공품,두류가공품,모조치즈,갑오징어(냉동),갑오징어(냉동,동체),흰다리새우(냉동,살)"
(주)제니스유통,3220,"소고기 ,돼지고기 ,닭고기 ","소고기(냉동,정육(뼈없는것),소고기정육/지육),닭고기(냉동,다리,닭고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,장,소부산물),돼지고기(기타,돼지고기부산물),소고기(냉동,건,소부산물),소고기(냉동,머리,소부산물),소고기(냉동,위,소부산물),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,꼬리,소부산물),소고기(냉동,기타,소부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉동,횡격막,소부산물),소고기(냉장,횡격막,소부산물),돼지고기(냉동,기타,돼지고기부산물),닭고기(냉동,가슴,닭고기정육/지육),돼지고기(냉장,정육(뼈없는것),돼지고기정육/지육),닭고기(냉동,날개,닭고기정육/지육),소고기(냉동,심장,소부산물),돼지고기(냉동,장,돼지고기부산물),돼지고기(냉동,머리,돼지고기부산물),돼지고기(냉동,지방,돼지고기부산물),소고기(냉장,정육(뼈있는것),소고기정육/지육)"
(주)이마트,3101,"닭고기 ,과자,과채가공품,돼지고기 ,기타 수산물가공품,초콜릿 ,소고기 ,새우 ,빵류,소스,견과 ,올리브유,치즈 ,주꾸미 ,고등어 ,포도 ,과.채주스,오징어 ,만두 ,아보카도 ,버터 ,잼 ,원두 ,두류가공품,아이스크림 ,토마토캐첩/ 마요네즈,분쇄가공육제품,소금 ,우유 ,당류가공품,명태 ,식물성크림/ 유크림 ","닭고기(냉동,다리,닭고기정육/지육),과자,과.채가공품,기타 수산물가공품,돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),빵류,소고기(냉동,정육(뼈있는것),소고기정육/지육),초콜릿가공품,흰다리새우(냉동,살),소스,올리브유,주꾸미(냉장),포도(열매,신선),과.채주스,소고기(냉장,정육(뼈없는것),소고기정육/지육),치즈,초콜릿,만두,아보카도(열매,신선),자연치즈,잼,아몬드(견과,건조),고등어(냉동),밀크초콜릿,흰다리새우(냉동,살,자숙,포장횟감),땅콩 또는 견과류가공품,소고기(냉동,정육(뼈없는것),소고기정육/지육),땅콩버터,오징어(냉동),호두(견과,건조),커피원두(씨앗,건조),고등어(냉동,필렛(F)),두류가공품,토마토케첩,분쇄가공육제품,돼지고기(냉장,정육(뼈없는것),돼지고기정육/지육),준초콜릿,해물혼합(냉동),얼룩새우(냉동),적새우(냉동,살),버터,아이스크림,가공소금,우유,비유지방아이스크림,마카다미아(견과,건조),오징어(냉동,동체),오징어(냉동,동체,자숙),캐슈(견과,건조),숙면,가공치즈,당류가공품,명태알(냉동,알),피칸(견과,건조),기타 코코아가공품,유탕면,건면,가공유크림,흰다리새우(냉동),돼지고기(냉장,정육(뼈있는것),돼지고기정육/지육),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육)"
(주)미트앤미트,3012,"돼지고기 ,닭고기 ,소고기 ","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),닭고기(냉동,다리,닭고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),소고기(냉동,정육(뼈없는것),소고기정육/지육),돼지고기(기타,돼지고기부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),돼지고기(냉동,발,돼지고기부산물),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉동,횡격막,소부산물),소고기(냉장,횡격막,소부산물),소고기(냉동,기타,소부산물),소고기(냉동,위,소부산물),소고기(냉동,머리,소부산물),돼지고기(냉동,장,돼지고기부산물),돼지고기(냉동,횡격막,돼지고기부산물),닭고기(냉동,가슴,닭고기정육/지육),소고기(냉동,건,소부산물)"
주식회사 신세계엘앤비,2792,"과실주,위스키,맥주","과실주,위스키,맥주"
(주)코스트코코리아,2662,"과.채주스,빵류,초콜릿 ,소스,치즈 ,견과 ,과자,과채가공품,올리브유,소고기 ,복합영양소제품,버터 ,잼 ,아이스크림 ,건강기능식품용 유지 ,당류가공품,당근 ,포도 ,엠에스엠,소금 ,기타 수산물가공품,발효유 ,식물성크림/ 유크림 ,토마토캐첩/ 마요네즈","과.채주스,빵류,소스,과자,땅콩 또는 견과류가공품,초콜릿가공품,과.채가공품,자연치즈,올리브유,초콜릿,소고기(냉장,정육(뼈없는것),소고기정육/지육),가공치즈,복합영양소제품,아이스크림,EPA 및 DHA 함유 유지,치즈,잼,호두(견과,건조),버터,땅콩버터,밀크초콜릿,브로콜리(냉동),기타잼,복합기능성제품,아몬드(견과,건조),가공소금,당류가공품,준초콜릿,포도(열매,신선),기타 수산물가공품,농후발효유,가공버터,포도(열매,건조),가공유크림,호두(견과,신선),마요네즈"
