importer,total_count,product_category_summary_sorted,product_category_actual_sorted
이케아코리아 유한회사,15157,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ,식품용 도자기제품 ,식품용 폴리에틸렌 제품 ,식품용 불소수지 제품 ,과자,두류가공품,과채가공품,빵류,기타 수산물가공품,초콜릿 ,소스,잼 ,토마토캐첩/ 마요네즈","폴리프로필렌,금속제,도자기제,불소수지,폴리에틸렌,고무제,폴리부틸렌테레프탈레이트,폴리아미드,폴리에틸렌테레프탈레이트,과자,에폭시수지,두류가공품,폴리시클로헥산-1,4-디메틸렌테레프탈레이트,과.채가공품,멜라민수지,빵류,기타 수산물가공품,소스,초콜릿가공품,나무제,잼,폴리스티렌,토마토케첩,밀크초콜릿,초콜릿"
(주)아성에이치엠피,4205,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ,식품용 폴리에틸렌 제품 ,식품용 도자기제품 ,식품용 불소수지 제품 ","폴리프로필렌,금속제,폴리에틸렌,도자기제,폴리에틸렌테레프탈레이트,고무제,폴리스티렌,불소수지,아크릴로니트릴-부타디엔-스티렌 공중합체,아크릴수지,폴리우레탄,나무제,폴리아미드"
(유)그룹세브코리아,3430,"식품용 금속제품 ,식품용 불소수지 제품 ,식품용 폴리프로필렌 제품 ,식품용 폴리에틸렌 제품 ,식품용 도자기제품 ","폴리프로필렌,불소수지,폴리에틸렌,금속제,고무제,폴리아미드,폴리아세탈,폴리부틸렌테레프탈레이트,도자기제,폴리시클로헥산-1,4-디메틸렌테레프탈레이트,아크릴로니트릴-스티렌 공중합체,아크릴로니트릴-부타디엔-스티렌 공중합체"
(주)코스트코코리아,2933,"과.채주스,빵류,초콜릿 ,소스,치즈 ,견과 ,과자,식품용 금속제품 ,과채가공품,냉동 농산물 ,올리브유,복합영양소제품,버터 ,잼 ,식품용 도자기제품 ,아이스크림 ,건강기능식품용 유지 ,식품용 폴리프로필렌 제품 ,식품용 폴리에틸렌 제품 ,당류가공품,엠에스엠,소금 ,기타 수산물가공품,발효유 ,식품용 불소수지 제품 ,식물성크림/ 유크림 ,토마토캐첩/ 마요네즈","과.채주스,빵류,소스,과자,땅콩 또는 견과류가공품,초콜릿가공품,과.채가공품,자연치즈,올리브유,금속제,초콜릿,가공치즈,폴리프로필렌,복합영양소제품,블루베리(열매,냉동),아이스크림,EPA 및 DHA 함유 유지,치즈,도자기제,잼,딸기(열매,냉동),호두(견과,건조),버터,땅콩버터,브로콜리(냉동),폴리에틸렌,밀크초콜릿,기타잼,고무제,복합기능성제품,아몬드(견과,건조),가공소금,당류가공품,준초콜릿,산딸기(열매,냉동),불소수지,기타 수산물가공품,농후발효유,가공버터,가공유크림,호두(견과,신선),마요네즈,아크릴수지,아크릴로니트릴-부타디엔-스티렌 공중합체,아크릴로니트릴-스티렌 공중합체,폴리시클로헥산-1,4-디메틸렌테레프탈레이트"
주식회사 신세계엘앤비,2792,"과실주,위스키,맥주","과실주,위스키,맥주"
(주)금양인터내셔날,2517,"과실주,위스키","과실주,위스키"
아이티엑스코리아 유한회사,2358,"식품용 도자기제품 ,식품용 금속제품 ,식품용 폴리에틸렌 제품 ,식품용 불소수지 제품 ,식품용 폴리프로필렌 제품 ","도자기제,금속제,폴리에틸렌,폴리프로필렌,고무제,불소수지,나무제"
엘지전자 주식회사,2190,"식품용 폴리프로필렌 제품 ,식품용 폴리에틸렌 제품 ,식품용 금속제품 ,식품용 불소수지 제품 ,식품용 도자기제품 ","폴리프로필렌,불소수지,금속제,폴리에틸렌테레프탈레이트"
하이트진로(주),2058,"과실주,맥주,위스키,식품용 도자기제품 ","과실주,맥주,위스키,도자기제"
(주)이마트,2043,"과자,과채가공품,기타 수산물가공품,초콜릿 ,빵류,소스,식품용 금속제품 ,견과 ,올리브유,치즈 ,식품용 폴리프로필렌 제품 ,과.채주스,식품용 도자기제품 ,만두 ,버터 ,잼 ,식품용 불소수지 제품 ,원두 ,두류가공품,아이스크림 ,토마토캐첩/ 마요네즈,식품용 폴리에틸렌 제품 ,소금 ,우유 ,당류가공품,식물성크림/ 유크림 ","과자,과.채가공품,기타 수산물가공품,빵류,초콜릿가공품,소스,올리브유,폴리프로필렌,금속제,과.채주스,치즈,초콜릿,도자기제,만두,자연치즈,잼,아몬드(견과,건조),밀크초콜릿,폴리에틸렌,땅콩 또는 견과류가공품,불소수지,땅콩버터,호두(견과,건조),커피원두(씨앗,건조),두류가공품,토마토케첩,준초콜릿,버터,아이스크림,가공소금,우유,비유지방아이스크림,마카다미아(견과,건조),고무제,캐슈(견과,건조),숙면,가공치즈,당류가공품,에폭시수지,피칸(견과,건조),기타 코코아가공품,폴리아세탈,유탕면,건면,가공유크림,폴리아미드,폴리시클로헥산-1,4-디메틸렌테레프탈레이트"
매크로통상(주),2039,"과자,소스,잼 ,초콜릿 ,빵류,당류가공품,소금 ,올리브유,견과 ,과채가공품,치즈 ,토마토캐첩/ 마요네즈,기타 수산물가공품,식품용 금속제품 ,식품용 도자기제품 ","과자,소스,잼,초콜릿가공품,빵류,밀크초콜릿,초콜릿,기타잼,당류가공품,올리브유,건면,땅콩 또는 견과류가공품,과.채가공품,기타소금,가공소금,화이트초콜릿,곡류가공품,숙면,가공치즈,마요네즈,기타 수산물가공품,금속제,준초콜릿,도자기제"
나라셀라 주식회사,2029,과실주,과실주
네슬레코리아유한책임회사,1928,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ,식품용 불소수지 제품 ,식품용 도자기제품 ,초콜릿 ,분유 ,식품용 폴리에틸렌 제품 ,당류가공품,과자,두류가공품","폴리프로필렌,아크릴로니트릴-부타디엔-스티렌 공중합체,초콜릿가공품,볶은커피,폴리아미드,폴리아세탈,도자기제,폴리에틸렌,금속제,혼합분유,불소수지,밀크초콜릿,당류가공품,과자,기타 코코아가공품,초콜릿,폴리에테르설폰,두류가공품,폴리염화비닐,폴리에틸렌테레프탈레이트,성장기용조제식"
롯데칠성음료(주),1849,"과실주,과채가공품,위스키,식품용 폴리에틸렌 제품 ,분유 ,식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리프로필렌 제품 ","과실주,과.채가공품,위스키,폴리에틸렌,혼합분유,폴리프로필렌,폴리에틸렌테레프탈레이트,금속제,고무제,폴리스티렌,도자기제"
(주)트리(Tree),1696,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ,식품용 도자기제품 ,식품용 폴리에틸렌 제품 ,식품용 불소수지 제품 ","폴리프로필렌,금속제,고무제,도자기제,폴리에틸렌,폴리스티렌,불소수지"
(주)베이크플러스,1693,"초콜릿 ,과채가공품,치즈 ,잼 ,빵류,식물성크림/ 유크림 ,버터 ,당류가공품,견과 ,밀가루 ,과자,기타 수산물가공품,식품용 금속제품 ","초콜릿,과.채가공품,빵류,잼,자연치즈,가공유크림,당류가공품,버터,준초콜릿,화이트초콜릿,땅콩 또는 견과류가공품,밀크초콜릿,치즈,초콜릿가공품,과자,영양강화 밀가루,기타잼,가공치즈,밀가루,기타 수산물가공품,코코아버터,가공버터,고무제"
(주)락앤락,1684,"식품용 폴리프로필렌 제품 ,식품용 금속제품 ,식품용 불소수지 제품 ,식품용 폴리에틸렌 제품 ,식품용 도자기제품 ","폴리프로필렌,불소수지,폴리에틸렌,금속제,고무제,아크릴로니트릴-부타디엔-스티렌 공중합체,폴리아미드,폴리아세탈,폴리시클로헥산-1,4-디메틸렌테레프탈레이트,아크릴로니트릴-스티렌 공중합체,도자기제"
베르수니코리아 주식회사,1682,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ,식품용 불소수지 제품 ,식품용 폴리에틸렌 제품 ,식품용 도자기제품 ","폴리프로필렌,폴리에틸렌,불소수지,금속제,폴리아미드"
(주)아영에프비씨,1678,"과실주,위스키,맥주,식품용 금속제품 ,식품용 폴리프로필렌 제품 ,식품용 불소수지 제품 ","과실주,위스키,맥주,폴리프로필렌,금속제,고무제,불소수지"
(주)제원인터내쇼날,1565,"초콜릿 ,빵류,과채가공품,당류가공품,견과 ,잼 ,버터 ,과자,식물성크림/ 유크림 ,냉동 농산물 ,치즈 ,밀가루 ","빵류,과.채가공품,초콜릿,화이트초콜릿,밀크초콜릿,당류가공품,준초콜릿,땅콩 또는 견과류가공품,잼,과자,가공버터,초콜릿가공품,산딸기(열매,냉동),버터,식물성크림,가공유크림,자연치즈,코코아버터,영양강화 밀가루"
주식회사 레뱅,1537,"과실주,위스키","과실주,위스키"
에스비트레이드 주식회사,1464,"냉동 농산물 ,과채가공품,김치,두류가공품","과.채가공품,양파(냉동),호박(열매,냉동),파(냉동),시금치(잎,줄기,냉동),마늘(뿌리,냉동),김치,당근(뿌리,냉동),엇갈이배추(잎,냉동),그린콩풋콩(냉동),브로콜리(냉동),피망(열매,냉동),근대(잎,줄기,냉동),표고버섯(자실체,냉동),고추(열매,냉동),배추(잎,냉동),부추(잎,냉동),두류가공품,아욱(잎,냉동),청경채(잎,냉동),양송이(자실체,냉동),완두(씨앗,냉동),느타리버섯(자실체,냉동),아스파라거스(순,냉동),유채(전초,냉동),마늘종(꽃줄기,냉동),고사리(냉동),무(뿌리,냉동),자주양배추/콜리플라워(꽃봉오리,냉동),방울양배추(잎,냉동),새송이버섯(자실체,냉동),토란(뿌리줄기,냉동),냉이(잎,냉동),우엉(뿌리,냉동),올리브(열매,냉동),양배추(잎,냉동),오크라(열매,냉동),아티초크(꽃봉오리,냉동)"
(주)스케이터코리아,1416,"식품용 폴리프로필렌 제품 ,식품용 금속제품 ,식품용 폴리에틸렌 제품 ,식품용 도자기제품 ,식품용 불소수지 제품 ","폴리프로필렌,폴리에틸렌,금속제,아크릴로니트릴-스티렌 공중합체,도자기제,폴리에틸렌테레프탈레이트,불소수지"
