가공식품,아람인터내셔널(ARAM INTERNATIONAL),퍼피드 라이스,PUFFED RICE,과자,CITY AUTO RICE&amp;DAL MILLS LTD,2023-08-31,2023-07-13 ~ 2025-07-12,방글라데시,방글라데시
가공식품,디캔터주식회사,모니에 생 죠셉,MONIER SAINT JOSEPH,과실주,DOMAINE MONIER-PERREOL SARL,2023-08-31,-,프랑스,이탈리아
가공식품,디캔터주식회사,모니에 생 죠셉 블랑,MONIER SAINT JOSEPH BLANC,과실주,DOMAINE MONIER-PERREOL SARL,2023-08-31,-,프랑스,이탈리아
가공식품,비네센코리아 주식회사,르 오 메독 드 브라네르 뒤크뤼,LE HAUT MEDOC DE BRANAIRE DUCRU,과실주,SEB,2023-08-31,-,프랑스,프랑스
가공식품,신동와인(주),샤또 꼬스 데스뚜르넬,CH&#39; COS D&#39;ESTOURNEL,과실주,DOMAINES REYBIER S.A.,2023-08-31,-,프랑스,프랑스
가공식품,월드와인즈 주식회사,바롤로 모스코니,BAROLO MOSCONI,과실주,AZIENDA AGRICOLA ROCCA GIOVANNI,2023-08-31,-,이탈리아,이탈리아
가공식품,비네센코리아 주식회사,오 메독 크뤼 브루조아 샤또 말에스까스(2014),HAUT MEDOC CRU BOURGEOIS CHATEAU MALESCASSE,과실주,CHATEAU MALESCASSE,2023-08-31,-,프랑스,프랑스
가공식품,비네센코리아 주식회사,오 메독 크뤼 브루조아 샤또 말에스까스 (2016),HAUT MEDOC CRU BOURGEOIS CHATEAU MALESCASSE,과실주,CHATEAU MALESCASSE,2023-08-31,-,프랑스,프랑스
가공식품,(주)레페리레와인임포트,리니 래브루스카 람브루스코 비안코,LINI LABRUSCA LAMBRUSCO BIANCO,과실주,LINI ORESTE&amp;FIGLI S.P.A.,2023-08-31,-,이탈리아,이탈리아
가공식품,월드와인즈 주식회사,랑게 로쏘 루캣,LANGHE ROSSO RUCAT,과실주,AZIENDA AGRICOLA ROCCA GIOVANNI,2023-08-31,-,이탈리아,이탈리아
가공식품,(주)레페리레와인임포트,리니 모스카토 스푸만테,LINI MOSCATO SPUMANTE,과실주,LINI ORESTE&amp;FIGLI S.P.A.,2023-08-31,-,이탈리아,이탈리아
가공식품,월드와인즈 주식회사,랑게 샤도네이,LANGHE CHARDONNAY,과실주,AZIENDA AGRICOLA ROCCA GIOVANNI,2023-08-31,-,이탈리아,이탈리아
가공식품,신동와인(주),샤또 마고,CH&#39; MARGAUX,과실주,CHATEAU MARGAUX,2023-08-31,-,프랑스,프랑스
가공식품,(주)크리스탈와인컬렉션,에곤 뮬러 빌팅거 브라우너 쿱 슈페트레제,EGON MULLER WILTINGER BRAUNE KUPP SPATLESE,과실주,EGON MULLER,2023-08-31,2022-03-10 ~ ,독일,프랑스
가공식품,(주)크리스탈와인컬렉션,에곤 뮬러 빌팅거 브라우너 쿱 아우스레제,EGON MULLER WILTINGER BRAUNE KUPP AUSLESE,과실주,EGON MULLER,2023-08-31,2022-03-11 ~ ,독일,네덜란드
가공식품,신동와인(주),샤또 라피트 로칠드(L20L221070),CH LAFITE ROTHSCHILD,과실주,SC DU CHATEAU LAFITE ROTHSCHILD,2023-08-31,-,프랑스,프랑스
