과실주,과실주,가공식품,과실주,C0314180000000000000
위스키,위스키,가공식품,위스키,C0314210000000000000
초콜릿,초콜릿,가공식품,초콜릿,C0303020100000000000
초콜릿,초콜릿,가공식품,밀크초콜릿,C0303020200000000000
초콜릿,초콜릿,가공식품,화이트초콜릿,C0303020300000000000
초콜릿,초콜릿,가공식품,준초콜릿,C0303020400000000000
초콜릿,초콜릿,가공식품,초콜릿가공품,C0303020500000000000
과.채가공품,과.채가공품,가공식품,과.채가공품,C0315070100000000000
치즈,치즈,가공식품,모조치즈,C0307030600000000000
치즈,치즈,가공식품,자연치즈,C0318090100000000000
치즈,치즈,가공식품,가공치즈,C0318090200000000000
치즈,치즈,가공식품,치즈,C0318090300000000000
잼,잼,가공식품,잼,C0305010000000000000
잼,잼,가공식품,기타잼,C0305020000000000000
빵류,빵류,가공식품,빵류,C0301040000000000000
식물성크림,식물성크림,가공식품,식물성크림,C0307030700000000000
유크림,유크림,가공식품,유크림,C0318070100000000000
유크림,유크림,가공식품,가공유크림,C0318070200000000000
버터,버터,가공식품,코코아버터,C0303010200000000000
버터,버터,가공식품,땅콩버터,C0315030100000000000
버터,버터,가공식품,발효버터유,C0318040500000000000
버터,버터,가공식품,버터유,C0318050000000000000
버터,버터,가공식품,버터,C0318080100000000000
버터,버터,가공식품,가공버터,C0318080200000000000
버터,버터,가공식품,버터오일,C0318080300000000000
당류가공품,당류가공품,가공식품,당류가공품,C0304070000000000000
견과,견과,가공식품,땅콩 또는 견과류가공품,C0315030200000000000
밀가루,밀가루,가공식품,밀가루,C0315020100000000000
밀가루,밀가루,가공식품,영양강화 밀가루,C0315020200000000000
과자,과자,가공식품,과자,C0301010000000000000
수산물가공품,수산물가공품,가공식품,기타 수산물가공품,C0319060000000000000
당류가공품,당류가공품,가공식품,당류가공품,C0304070000000000000
치즈,치즈,가공식품,모조치즈,C0307030600000000000
치즈,치즈,가공식품,자연치즈,C0318090100000000000
치즈,치즈,가공식품,가공치즈,C0318090200000000000
치즈,치즈,가공식품,치즈,C0318090300000000000
밀가루,밀가루,가공식품,밀가루,C0315020100000000000
밀가루,밀가루,가공식품,영양강화 밀가루,C0315020200000000000
두류가공품,두류가공품,가공식품,두류가공품,C0315070300000000000
과.채주스,과.채주스,가공식품,과.채주스,C0309030200000000000
농축과.채즙,농축과.채즙,가공식품,농축과.채즙(또는 과채분),C0309030100000000000
만두,만두,가공식품,만두,C0322030100000000000
만두,만두,가공식품,만두피,C0322030200000000000
소스,소스,가공식품,소스,C0312020100000000000
올리브유,올리브유,가공식품,올리브유,C0307011300000000000
우유,우유,가공식품,우유,C0318010100000000000
우유,우유,가공식품,강화우유,C0318020100000000000
우유,우유,가공식품,유산균첨가우유,C0318020200000000000
우유,우유,가공식품,유당분해우유,C0318020300000000000
우유,우유,가공식품,농축우유,C0318060100000000000
우유,우유,가공식품,탈지농축우유,C0318060200000000000
소스,소스,가공식품,소스,C0312020100000000000
케첩,케첩,가공식품,토마토케첩,C0312020300000000000
마요네즈,마요네즈,가공식품,마요네즈,C0312020200000000000
소금,소금,가공식품,재제소금(재제조소금),C0312060200000000000
소금,소금,가공식품,태움.용융소금,C0312060300000000000
소금,소금,가공식품,정제소금,C0312060400000000000
소금,소금,가공식품,기타소금,C0312060500000000000
소금,소금,가공식품,가공소금,C0312060600000000000
발효유,발효유,가공식품,발효유,C0318040100000000000
발효유,발효유,가공식품,농후발효유,C0318040200000000000
발효유,발효유,가공식품,크림발효유,C0318040300000000000
발효유,발효유,가공식품,농후크림발효유,C0318040400000000000
발효유,발효유,가공식품,발효유분말,C0318040600000000000
우유,우유,가공식품,우유,C0318010100000000000
우유,우유,가공식품,강화우유,C0318020100000000000
우유,우유,가공식품,유산균첨가우유,C0318020200000000000
우유,우유,가공식품,유당분해우유,C0318020300000000000
우유,우유,가공식품,농축우유,C0318060100000000000
우유,우유,가공식품,탈지농축우유,C0318060200000000000
분쇄가공육제품,분쇄가공육제품,가공식품,분쇄가공육제품,C0316050200000000000
밀가루,밀가루,가공식품,밀가루,C0315020100000000000
밀가루,밀가루,가공식품,영양강화 밀가루,C0315020200000000000
분유,분유,가공식품,전지분유,C0318101000000000000
분유,분유,가공식품,탈지분유,C0318102000000000000
분유,분유,가공식품,가당분유,C0318103000000000000
분유,분유,가공식품,혼합분유,C0318104000000000000
아이스크림,아이스크림,가공식품,아이스크림,C0302010100000000000
아이스크림,아이스크림,가공식품,저지방아이스크림,C0302010200000000000
아이스크림,아이스크림,가공식품,비유지방아이스크림,C0302010500000000000
아이스크림,아이스크림,가공식품,아이스크림믹스,C0302020100000000000
아이스크림,아이스크림,가공식품,저지방아이스크림믹스,C0302020200000000000
아이스크림,아이스크림,가공식품,비유지방아이스크림믹스,C0302020500000000000
커피원두,커피원두,식물성,"커피원두(씨앗,건조)",A0400300100000013600
커피원두,커피원두,식물성,"커피원두(씨앗,냉동)",A0400300100000023600
커피원두,커피원두,식물성,"커피원두(씨앗,신선)",A0400300100000033600
카카오원두,카카오원두,식물성,"카카오원두(씨앗,건조)",A0400300200000013600
카카오원두,카카오원두,식물성,"카카오원두(씨앗,신선)",A0400300200000033600
냉동,냉동 농산물,식물성,"옥수수(씨앗,냉동)",A0100700000000023600
냉동,냉동 농산물,식물성,"감자(덩이줄기,냉동)",A0200100000000021900
냉동,냉동 농산물,식물성,"고구마(덩이뿌리,냉동)",A0200200000000021800
냉동,냉동 농산물,식물성,"토란(뿌리줄기,냉동)",A0200300000000022500
