name,address,phone,website
(주)동진로직스,부산광역시 중구 충장대로9번길 43  ,051-463-0630,http://www.dongjinlogis.com
(주)우영종합물류,경기도 고양시 일산동구 호수로 358-39- 525호,02-3445-4008,http://www.wycl.co.kr
이씨유월드와이드코리아 주식회사,서울특별시 영등포구 양산로 53 월드메르디앙비즈센터 906 ,051-463-8885,https://ecuworldwide.com/
(주)일심로지스타,서울특별시 마포구 마포대로4다길 18 (마포동- 강변한신코아빌딩) 911호 ,027182008,http://www.ilsimls.com
태웅로직스,서울특별시 강남구 테헤란로37길 13-6 (역삼동) 태웅빌딩 9층 ,02-2029-4300,http://www.e-tgl.com/
용마로지스,경기도 김포시 아라육로 78 (고촌읍- 용마로지스(주) 김포센터) 2동 ,02-3290-6484,http://www.yongmalogis.co.kr
(주)쎈트란스인터내셔날,서울특별시 종로구 새문안로3길 15 (당주동) 6층 ,02-3700-6102,http://www.centrans.co.kr
주식회사 인터링스,두산더랜드파크- 제오에이동 1020-1021,02-6959-8677,http://www.interlinks.co.kr
(주)알파로지스,부산광역시 서구 구덕로280번길 40 2층(동대신동1가- 알파로지스빌딩) ,051-441-8236,http://www.alphalogis.co.kr
(주)엘에스종합물류,서울특별시 강서구 양천로 551-17 (가양동- 한화비즈메트로1차) 1005호 (가양동- 한화비즈메트로) ,023366030,http://www.lslts.co.kr
(주)JBG로지스틱스,부산광역시 중구 대교로 119 609호(중앙동6가- 씨제이대한통운빌딩) ,051-441-7255,http://www.jbglogis.co.kr
주식회사 팍스로지스틱스,부산광역시 중구 중앙대로 146 (중앙동4가) 대한항공빌딩 6층 ,051-464-2102,undefined
(주)솔트랜스,서울특별시 영등포구 선유로 130 -408호(양평동3가- 에이스하이테크시티3) ,02-6925-0818,undefined
신흥글로벌(주),경상남도 창원시 성산구 성주로97번길  35 (남산동)  ,055-710-7572,http://www.shinhungglobal.co.kr/
람세스물류(주),서울특별시 강서구 양천로 401 (가양동) 에이 505~510호 ,027791400,http://www.ramseskr.com
주식회사도성해운항공,서울특별시 중구 삼일대로 363 (장교동) 1105호(장교빌딩) ,02-6949-0439,undefined
윈윈로지스틱스코리아(주),서울특별시 종로구 자하문로 67 (옥인동) 옥인빌딩 302호 ,027011127,http://www.2winlogis.co.kr
주식회사 자이언트네트워크그룹,서울특별시 강서구 개화동로25길 19 (방화동- (주)자이언트)  ,02-2666-7475,http://www.giantnetworkgroup.com/
(주)썬샤인로직스,서울특별시 중구 서소문로 103 (서소문동) 924 (배재빌딩) ,027741556,http://www.sunshinelogix.com
(주)에어브리지,인천광역시 부평구- 일신동 63번지 1층,032-502-1880,http://www.airbridge.kr
레오나해운항공 주식회사,부산광역시 해운대구 센텀중앙로 97 (재송동) 센텀스카이비즈 에이동 1305호 ,051-717-2541,http://www.leonakorea.com
효성트랜스월드,서울특별시 마포구 마포대로 92 (도화동)  A동 3층 ,027078717,http://www.hyosungtransworld.co.kr/kr/index.do
비슈어로지스 주식회사,서울특별시 강남구 역삼로 128 (역삼동) 602호 ,02-6941-1119,https://www.besurelogis.com
에이치케이씨(주),서울특별시 중구 소월로 50 - 1737호 (남대문로5가) ,051-710-1300,undefined
주영종합물류(주),서울특별시 서초구 서초대로 396 (서초동) 802호(강남빌딩) ,025581235,http://www.juyoungtrans.com
롯데글로벌로지스(주),서울특별시 중구 통일로 10 (남대문로5가- 연세세브란스빌딩) 10-11층 ,02-2170-3355,undefined
국양로지텍(주),부산광역시 중구 충장대로 11 (중앙동4가- 무역회관빌딩) 15층 ,051-467-7333,http://www.kylogix.co.kr
